연번,검증인정서번호,기업명,공장명,모델명,검증코드,출력(W),탄소배출량,검증방법,검증인정서발급일,검증인정서만료일
875,2022-875,에이치디현대에너지솔루션(주),음성공장,HiS-S470YJ-EN,HiS-S470YJ-EN_750.11kgCO2,470,750.11,표준배출계수,2022-04-29,2025-04-28
876,2022-876,에이치디현대에너지솔루션(주),음성공장,HiS-S475YJ-EN,HiS-S475YJ-EN_742.22kgCO2,475,742.22,표준배출계수,2022-04-29,2025-04-28
877,2022-877,에이치디현대에너지솔루션(주),음성공장,HiS-S480YJ-EN,HiS-S480YJ-EN_734.48kgCO2,480,734.48,표준배출계수,2022-04-29,2025-04-28
878,2022-878,에이치디현대에너지솔루션(주),음성공장,HiS-S485YJ-EN,HiS-S485YJ-EN_726.91kgCO2,485,726.91,표준배출계수,2022-04-29,2025-04-28
879,2022-879,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-EN,HiS-S490YJ-EN_719.50kgCO2,490,719.5,표준배출계수,2025-04-29,2028-04-28
880,2022-880,에이치디현대에너지솔루션(주),음성공장,HiS-S495YJ-EN,HiS-S495YJ-EN_712.23kgCO2,495,712.23,표준배출계수,2025-04-29,2028-04-28
881,2022-881,에이치디현대에너지솔루션(주),음성공장,HiS-S500YJ-EN,HiS-S500YJ-EN_705.11kgCO2,500,705.11,표준배출계수,2025-04-29,2028-04-28
882,2022-882,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-ON,HiS-S490YJ-ON_703.89kgCO2,490,703.89,표준배출계수,2022-04-29,2025-04-28
883,2022-883,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-ON,HiS-S490YJ-ON_703.89kgCO2,490,703.89,표준배출계수,2022-04-29,2025-04-28
884,2022-884,에이치디현대에너지솔루션(주),음성공장,HiS-S565OJ-ET,HiS-S565OJ-ET_750.31kgCO2,565,750.31,표준배출계수,2022-04-29,2025-04-28
885,2022-885,에이치디현대에너지솔루션(주),음성공장,HiS-S570OJ-ET,HiS-S570OJ-ET_743.73kgCO2,570,743.73,표준배출계수,2022-04-29,2025-04-28
886,2022-886,에이치디현대에너지솔루션(주),음성공장,HiS-S575OJ-ET,HiS-S575OJ-ET_737.26kgCO2,575,737.26,표준배출계수,2022-04-29,2025-04-28
887,2022-887,에이치디현대에너지솔루션(주),음성공장,HiS-S580OJ-ET,HiS-S580OJ-ET_730.90kgCO2,580,730.9,표준배출계수,2022-04-29,2025-04-28
888,2022-888,에이치디현대에너지솔루션(주),음성공장,HiS-S585OJ-ET,HiS-S585OJ-ET_724.66kgCO2,585,724.66,표준배출계수,2025-04-29,2028-04-28
889,2022-889,에이치디현대에너지솔루션(주),음성공장,HiS-S590OJ-ET,HiS-S590OJ-ET_718.51kgCO2,590,718.51,표준배출계수,2025-04-29,2028-04-28
890,2022-890,에이치디현대에너지솔루션(주),음성공장,HiS-S595OJ-ET,HiS-S595OJ-ET_712.48kgCO2,595,712.48,표준배출계수,2025-04-29,2028-04-28
891,2022-891,에이치디현대에너지솔루션(주),음성공장,HiS-S570OJ-ETH,HiS-S570OJ-ETH_738.75kgCO2,570,738.75,표준배출계수,2022-04-29,2025-04-28
892,2022-892,에이치디현대에너지솔루션(주),음성공장,HiS-S575OJ-ETH,HiS-S575OJ-ETH_732.33kgCO2,575,732.33,표준배출계수,2022-04-29,2025-04-28
893,2022-893,에이치디현대에너지솔루션(주),음성공장,HiS-S580OJ-ETH,HiS-S580OJ-ETH_726.01kgCO2,580,726.01,표준배출계수,2022-04-29,2025-04-28
894,2022-894,에이치디현대에너지솔루션(주),음성공장,HiS-S585OJ-ETH,HiS-S585OJ-ETH_719.81kgCO2,585,719.81,표준배출계수,2025-04-29,2028-04-28
895,2022-895,에이치디현대에너지솔루션(주),음성공장,HiS-S590OJ-ETH,HiS-S590OJ-ETH_713.71kgCO2,590,713.71,표준배출계수,2025-04-29,2028-04-28
896,2022-896,에이치디현대에너지솔루션(주),음성공장,HiS-S595OJ-ETH,HiS-S595OJ-ETH_707.71kgCO2,595,707.71,표준배출계수,2025-04-29,2028-04-28
897,2022-897,에이치디현대에너지솔루션(주),음성공장,HiS-S590OJ-ETH,HiS-S590OJ-ETH_723.53kgCO2,590,723.53,표준배출계수,2025-04-29,2028-04-28
898,2022-898,에이치디현대에너지솔루션(주),음성공장,HiS-S595OJ-ETH,HiS-S595OJ-ETH_717.45kgCO2,595,717.45,표준배출계수,2025-04-29,2028-04-28
899,2022-899,(주)신성이엔지,김제공장,SS-DM550BD,SS-DM550BD_717.10kgCO2,550,717.1,표준배출계수,2022-05-31,2025-05-30
900,2022-900,(주)신성이엔지,김제공장,SS-DM550BD,SS-DM550BD_714.42kgCO2,550,714.42,표준배출계수,2022-05-31,2025-05-30
901,2022-901,(주)신성이엔지,김제공장,SS-DM545BD,SS-DM545BD_720.97kgCO2,545,720.97,표준배출계수,2022-05-31,2025-05-30
902,2022-902,(주)신성이엔지,김제공장,SS-DM550BD,SS-DM550BD_686.29kgCO2,550,686.29,표준배출계수,2022-05-31,2025-05-30
903,2022-903,(주)신성이엔지,김제공장,SS-DM545BD,SS-DM545BD_692.59kgCO2,545,692.59,표준배출계수,2022-05-31,2025-05-30
904,2022-904,(주)신성이엔지,김제공장,SS-DM540BD,SS-DM540BD_699.00kgCO2,540,699,표준배출계수,2022-05-31,2025-05-30
905,2022-905,에이치디현대에너지솔루션(주),음성공장,HiS-S570OJ-ET,HiS-S570OJ-ET_743.73kgCO2,570,743.73,표준배출계수,2022-05-31,2025-05-30
906,2022-906,에이치디현대에너지솔루션(주),음성공장,HiS-S575OJ-ET,HiS-S575OJ-ET_737.26kgCO2,575,737.26,표준배출계수,2022-05-31,2025-05-30
907,2022-907,에이치디현대에너지솔루션(주),음성공장,HiS-S580OJ-ET,HiS-S580OJ-ET_730.90kgCO2,580,730.9,표준배출계수,2022-05-31,2025-05-30
908,2022-908,에이치디현대에너지솔루션(주),음성공장,HiS-S585OJ-ET,HiS-S585OJ-ET_724.66kgCO2,585,724.66,표준배출계수,2025-05-31,2028-05-30
909,2022-909,에이치디현대에너지솔루션(주),음성공장,HiS-S590OJ-ET,HiS-S590OJ-ET_718.51kgCO2,590,718.51,표준배출계수,2025-05-31,2028-05-30
910,2022-910,에이치디현대에너지솔루션(주),음성공장,HiS-S595OJ-ET,HiS-S595OJ-ET_712.48kgCO2,595,712.48,표준배출계수,2025-05-31,2028-05-30
911,2022-911,한솔에너지온,한솔에너지온 오창공장,HS485WE-GHD10,HS485WE-GHD10_618.35kgCO2,485,618.35,표준배출계수,2025-05-31,2028-05-30
912,2022-912,한솔에너지온,한솔에너지온 오창공장,HS490WE-GHD10,HS490WE-GHD10_612.04kgCO2,490,612.04,표준배출계수,2025-05-31,2028-05-30
913,2022-913,한솔에너지온,한솔에너지온 오창공장,HS495WE-GHD10,HS495WE-GHD10_605.85kgCO2,495,605.85,표준배출계수,2025-05-31,2028-05-30
914,2022-914,한솔에너지온,한솔에너지온 오창공장,HS500WE-GHD10,HS500WE-GHD10_599.80kgCO2,500,599.8,표준배출계수,2025-05-31,2028-05-30
915,2022-915,한솔에너지온,한솔에너지온 오창공장,HS505WE-GHD10,HS505WE-GHD10_593.86kgCO2,505,593.86,표준배출계수,2025-05-31,2028-05-30
916,2022-916,한솔에너지온,한솔에너지온 오창공장,HS485WE-GHD10,HS485WE-GHD10_625.06kgCO2,485,625.06,표준배출계수,2022-05-31,2025-05-30
917,2022-917,한솔에너지온,한솔에너지온 오창공장,HS490WE-GHD10,HS490WE-GHD10_618.68kgCO2,490,618.68,표준배출계수,2022-05-31,2025-05-30
918,2022-918,한솔에너지온,한솔에너지온 오창공장,HS495WE-GHD10,HS495WE-GHD10_612.43kgCO2,495,612.43,표준배출계수,2022-05-31,2025-05-30
919,2022-919,한솔에너지온,한솔에너지온 오창공장,HS500WE-GHD10,HS500WE-GHD10_606.31kgCO2,500,606.31,표준배출계수,2022-05-31,2025-05-30
920,2022-920,한솔에너지온,한솔에너지온 오창공장,HS505WE-GHD10,HS505WE-GHD10_600.30kgCO2,505,600.3,표준배출계수,2022-05-31,2025-05-30
921,2022-921,한솔에너지온,한솔에너지온 오창공장,HS485WE-GHD10,HS485WE-GHD10_741.45kgCO2,485,741.45,표준배출계수,2025-05-31,2028-05-30
922,2022-922,한솔에너지온,한솔에너지온 오창공장,HS490WE-GHD10,HS490WE-GHD10_733.89kgCO2,490,733.89,표준배출계수,2025-05-31,2028-05-30
923,2022-923,한솔에너지온,한솔에너지온 오창공장,HS495WE-GHD10,HS495WE-GHD10_726.47kgCO2,495,726.47,표준배출계수,2025-05-31,2028-05-30
924,2022-924,한솔에너지온,한솔에너지온 오창공장,HS500WE-GHD10,HS500WE-GHD10_719.21kgCO2,500,719.21,표준배출계수,2025-05-31,2028-05-30
925,2022-925,한솔에너지온,한솔에너지온 오창공장,HS505WE-GHD10,HS505WE-GHD10_712.09kgCO2,505,712.09,표준배출계수,2025-05-31,2028-05-30
926,2022-926,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ1 490,Q.PEAK DUO ML-G11.5/BFG KJ1 490_733.67kgCO2,490,733.67,표준배출계수,2022-05-31,2025-05-30
927,2022-927,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ1 495,Q.PEAK DUO ML-G11.5/BFG KJ1 495_726.26kgCO2,495,726.26,표준배출계수,2025-05-31,2028-05-30
928,2022-928,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ1 500,Q.PEAK DUO ML-G11.5/BFG KJ1 500_719.00kgCO2,500,719,표준배출계수,2025-05-31,2028-05-30
929,2022-929,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ1 505,Q.PEAK DUO ML-G11.5/BFG KJ1 505_711.88kgCO2,505,711.88,표준배출계수,2025-05-31,2028-05-30
930,2022-930,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ1 510,Q.PEAK DUO ML-G11.5/BFG KJ1 510_704.90kgCO2,510,704.9,표준배출계수,2025-05-31,2028-05-30
931,2022-931,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ2 490,Q.PEAK DUO ML-G11.5/BFG KJ2 490_733.61kgCO2,490,733.61,표준배출계수,2022-05-31,2025-05-30
932,2022-932,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ2 495,Q.PEAK DUO ML-G11.5/BFG KJ2 495_726.20kgCO2,495,726.2,표준배출계수,2025-05-31,2028-05-30
933,2022-933,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ2 500,Q.PEAK DUO ML-G11.5/BFG KJ2 500_718.94kgCO2,500,718.94,표준배출계수,2025-05-31,2028-05-30
934,2022-934,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ1 505,Q.PEAK DUO ML-G11.5/BFG KJ1 505_721.83kgCO2,505,721.83,표준배출계수,2025-05-31,2028-05-30
935,2022-935,한화솔루션(주),진천사업장,Q.PEAK DUO ML-G11.5/BFG KJ1 510,Q.PEAK DUO ML-G11.5/BFG KJ1 510_714.75kgCO2,510,714.75,표준배출계수,2025-05-31,2028-05-30
936,2022-936,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G11.3/BFG KJ1 570,Q.PEAK DUO XL-G11.3/BFG KJ1 570_721.27kgCO2,570,721.27,표준배출계수,2025-05-31,2028-05-30
937,2022-937,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G11.3/BFG KJ1 575,Q.PEAK DUO XL-G11.3/BFG KJ1 575_715.00kgCO2,575,715,표준배출계수,2025-05-31,2028-05-30
938,2022-938,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G11.3/BFG KJ1 580,Q.PEAK DUO XL-G11.3/BFG KJ1 580_708.84kgCO2,580,708.84,표준배출계수,2025-05-31,2028-05-30
939,2022-939,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G11.3/BFG KJ1 585,Q.PEAK DUO XL-G11.3/BFG KJ1 585_702.78kgCO2,585,702.78,표준배출계수,2025-05-31,2028-05-30
940,2022-940,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G11.3/BFG KR1 570,Q.PEAK DUO XL-G11.3/BFG KR1 570_721.27kgCO2,570,721.27,표준배출계수,2022-05-31,2025-05-30
941,2022-941,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G11.3/BFG KR1 575,Q.PEAK DUO XL-G11.3/BFG KR1 575_715.00kgCO2,575,715,표준배출계수,2022-05-31,2025-05-30
942,2022-942,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G11.3/BFG KR1 580,Q.PEAK DUO XL-G11.3/BFG KR1 580_708.84kgCO2,580,708.84,표준배출계수,2022-05-31,2025-05-30
943,2022-943,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G11.3/BFG KR1 585,Q.PEAK DUO XL-G11.3/BFG KR1 585_702.78kgCO2,585,702.78,표준배출계수,2022-05-31,2025-05-30
944,2022-944,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 465,Q.PEAK DUO XL-G10.3/BFG KR1 465_644.02kgCO2,465,644.02,표준배출계수,2025-05-31,2028-05-30
945,2022-945,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 470,Q.PEAK DUO XL-G10.3/BFG KR1 470_637.17kgCO2,470,637.17,표준배출계수,2025-05-31,2028-05-30
946,2022-946,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 475,Q.PEAK DUO XL-G10.3/BFG KR1 475_630.46kgCO2,475,630.46,표준배출계수,2025-05-31,2028-05-30
947,2022-947,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 480,Q.PEAK DUO XL-G10.3/BFG KR1 480_623.89kgCO2,480,623.89,표준배출계수,2025-05-31,2028-05-30
948,2022-948,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 470,Q.PEAK DUO XL-G10.3 KR1 470_637.18kgCO2,470,637.18,표준배출계수,2022-05-31,2025-05-30
949,2022-949,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 475,Q.PEAK DUO XL-G10.3 KR1 475_630.47kgCO2,475,630.47,표준배출계수,2022-05-31,2025-05-30
950,2022-950,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 480,Q.PEAK DUO XL-G10.3 KR1 480_623.90kgCO2,480,623.9,표준배출계수,2022-05-31,2025-05-30
951,2022-951,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 485,Q.PEAK DUO XL-G10.3 KR1 485_617.47kgCO2,485,617.47,표준배출계수,2022-05-31,2025-05-30
952,2022-952,에이치디현대에너지솔루션(주),음성공장,HiS-S470ZJ-ON,HiS-S470ZJ-ON_743.35kgCO2,470,743.35,표준배출계수,2022-05-31,2025-05-30
953,2022-953,에이치디현대에너지솔루션(주),음성공장,HiS-S475ZJ-ON,HiS-S475ZJ-ON_735.52kgCO2,475,735.52,표준배출계수,2022-05-31,2025-05-30
954,2022-954,에이치디현대에너지솔루션(주),음성공장,HiS-S480ZJ-ON,HiS-S480ZJ-ON_727.86kgCO2,480,727.86,표준배출계수,2025-05-31,2028-05-30
955,2022-955,에이치디현대에너지솔루션(주),음성공장,HiS-S485ZJ-ON,HiS-S485ZJ-ON_720.36kgCO2,485,720.36,표준배출계수,2022-05-31,2025-05-30
956,2022-956,에이치디현대에너지솔루션(주),음성공장,HiS-S485XJ-EN,HiS-S485XJ-EN_719.84kgCO2,485,719.84,표준배출계수,2022-07-01,2025-06-30
957,2022-957,에이치디현대에너지솔루션(주),음성공장,HiS-S490XJ-EN,HiS-S490XJ-EN_712.49kgCO2,490,712.49,표준배출계수,2022-07-01,2025-06-30
958,2022-958,에이치디현대에너지솔루션(주),음성공장,HiS-S495XJ-EN,HiS-S495XJ-EN_705.30kgCO2,495,705.3,표준배출계수,2022-07-01,2025-06-30
959,2022-959,에이치디현대에너지솔루션(주),음성공장,HiS-S500XJ-EN,HiS-S500XJ-EN_698.24kgCO2,500,698.24,표준배출계수,2025-07-01,2028-06-30
960,2022-960,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-ON,HiS-S490YJ-ON_567.13kgCO2,490,567.13,표준배출계수,2022-07-01,2025-06-30
961,2022-961,에이치디현대에너지솔루션(주),음성공장,HiS-S495YJ-ON,HiS-S495YJ-ON_561.40kgCO2,495,561.4,표준배출계수,2022-07-01,2025-06-30
962,2022-962,에이치디현대에너지솔루션(주),음성공장,HiS-S500YJ-ON,HiS-S500YJ-ON_555.78kgCO2,500,555.78,표준배출계수,2022-07-01,2025-06-30
963,2022-963,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-ON,HiS-S490YJ-ON_703.46kgCO2,490,703.46,표준배출계수,2025-07-01,2028-06-30
964,2022-964,에이치디현대에너지솔루션(주),음성공장,HiS-S495YJ-ON,HiS-S495YJ-ON_696.35kgCO2,495,696.35,표준배출계수,2025-07-01,2028-06-30
965,2022-965,에이치디현대에너지솔루션(주),음성공장,HiS-S500YJ-ON,HiS-S500YJ-ON_689.39kgCO2,500,689.39,표준배출계수,2025-07-01,2028-06-30
966,2022-966,에이치디현대에너지솔루션(주),음성공장,HiS-S470YJ-ON,HiS-S470YJ-ON_591.26kgCO2,470,591.26,표준배출계수,2022-07-01,2025-06-30
967,2022-967,에이치디현대에너지솔루션(주),음성공장,HiS-S475YJ-ON,HiS-S475YJ-ON_585.04kgCO2,475,585.04,표준배출계수,2022-07-01,2025-06-30
968,2022-968,에이치디현대에너지솔루션(주),음성공장,HiS-S480YJ-ON,HiS-S480YJ-ON_578.94kgCO2,480,578.94,표준배출계수,2022-07-01,2025-06-30
969,2022-969,에이치디현대에너지솔루션(주),음성공장,HiS-S485YJ-ON,HiS-S485YJ-ON_572.97kgCO2,485,572.97,표준배출계수,2022-07-01,2025-06-30
970,2022-970,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-ON,HiS-S490YJ-ON_567.13kgCO2,490,567.13,표준배출계수,2022-07-01,2025-06-30
971,2022-971,에이치디현대에너지솔루션(주),음성공장,HiS-S495YJ-ON,HiS-S495YJ-ON_561.40kgCO2,495,561.4,표준배출계수,2022-07-01,2025-06-30
972,2022-972,에이치디현대에너지솔루션(주),음성공장,HiS-S500YJ-ON,HiS-S500YJ-ON_555.78kgCO2,500,555.78,표준배출계수,2022-07-01,2025-06-30
973,2022-973,에이치디현대에너지솔루션(주),음성공장,HiS-S470YJ-ON,HiS-S470YJ-ON_591.72kgCO2,470,591.72,표준배출계수,2022-07-01,2025-06-30
974,2022-974,에이치디현대에너지솔루션(주),음성공장,HiS-S475YJ-ON,HiS-S475YJ-ON_585.49kgCO2,475,585.49,표준배출계수,2022-07-01,2025-06-30
975,2022-975,에이치디현대에너지솔루션(주),음성공장,HiS-S480YJ-ON,HiS-S480YJ-ON_579.39kgCO2,480,579.39,표준배출계수,2022-07-01,2025-06-30
976,2022-976,에이치디현대에너지솔루션(주),음성공장,HiS-S485YJ-ON,HiS-S485YJ-ON_573.42kgCO2,485,573.42,표준배출계수,2025-07-01,2028-06-30
977,2022-977,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-ON,HiS-S490YJ-ON_567.56kgCO2,490,567.56,표준배출계수,2025-07-01,2028-06-30
978,2022-978,에이치디현대에너지솔루션(주),음성공장,HiS-S495YJ-ON,HiS-S495YJ-ON_561.83kgCO2,495,561.83,표준배출계수,2025-07-01,2028-06-30
979,2022-979,에이치디현대에너지솔루션(주),음성공장,HiS-S500YJ-ON,HiS-S500YJ-ON_556.21kgCO2,500,556.21,표준배출계수,2022-07-01,2025-06-30
980,2022-980,(주)탑선,장성공장,TOP CLASS 590P,TOP CLASS 590P_728.78kgCO2,590,728.78,표준배출계수,2022-07-01,2025-06-30
981,2022-981,(주)탑선,장성공장,TOP CLASS 595P,TOP CLASS 595P_722.66kgCO2,595,722.66,표준배출계수,2022-07-01,2025-06-30
982,2022-982,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 465,Q.PEAK DUO XL-G10.d/BFG KR1 465_645.33kgCO2,465,645.33,표준배출계수,2025-07-01,2028-06-30
983,2022-983,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 470,Q.PEAK DUO XL-G10.d/BFG KR1 470_638.47kgCO2,470,638.47,표준배출계수,2025-07-01,2028-06-30
984,2022-984,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 475,Q.PEAK DUO XL-G10.d/BFG KR1 475_631.74kgCO2,475,631.74,표준배출계수,2025-07-01,2028-06-30
985,2022-985,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 480,Q.PEAK DUO XL-G10.d/BFG KR1 480_625.16kgCO2,480,625.16,표준배출계수,2025-07-01,2028-06-30
986,2022-986,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d KR1 470,Q.PEAK DUO XL-G10.d KR1 470_635.88kgCO2,470,635.88,표준배출계수,2022-07-01,2025-06-30
987,2022-987,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d KR1 475,Q.PEAK DUO XL-G10.d KR1 475_629.19kgCO2,475,629.19,표준배출계수,2022-07-01,2025-06-30
988,2022-988,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d KR1 480,Q.PEAK DUO XL-G10.d KR1 480_622.63kgCO2,480,622.63,표준배출계수,2022-07-01,2025-06-30
989,2022-989,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 470,Q.PEAK DUO XL-G10.3 KR1 470_710.17kgCO2,470,710.17,표준배출계수,2022-07-25,2025-07-24
990,2022-990,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 475,Q.PEAK DUO XL-G10.3 KR1 475_702.69kgCO2,475,702.69,표준배출계수,2022-07-25,2025-07-24
991,2022-991,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 480,Q.PEAK DUO XL-G10.3 KR1 480_695.37kgCO2,480,695.37,표준배출계수,2022-07-25,2025-07-24
992,2022-992,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3 KR1 485,Q.PEAK DUO XL-G10.3 KR1 485_688.20kgCO2,485,688.2,표준배출계수,2022-07-25,2025-07-24
993,2022-993,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 465,Q.PEAK DUO XL-G10.3/BFG KR1 465_717.80kgCO2,465,717.8,표준배출계수,2022-07-25,2025-07-24
994,2022-994,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 470,Q.PEAK DUO XL-G10.3/BFG KR1 470_710.16kgCO2,470,710.16,표준배출계수,2022-07-25,2025-07-24
995,2022-995,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 475,Q.PEAK DUO XL-G10.3/BFG KR1 475_702.69kgCO2,475,702.69,표준배출계수,2022-07-25,2025-07-24
996,2022-996,한화솔루션(주),음성 제2사업장,Q.PEAK DUO XL-G10.3/BFG KR1 480,Q.PEAK DUO XL-G10.3/BFG KR1 480_695.37kgCO2,480,695.37,표준배출계수,2022-07-25,2025-07-24
997,2022-997,에이치디현대에너지솔루션(주),음성공장,HiS-S490YJ-ON,HiS-S490YJ-ON_619.76kgCO2,490,619.76,표준배출계수,2025-07-25,2028-07-24
998,2022-998,에이치디현대에너지솔루션(주),음성공장,HiS-S495YJ-ON,HiS-S495YJ-ON_613.50kgCO2,495,613.5,표준배출계수,2025-07-25,2028-07-24
999,2022-999,에이치디현대에너지솔루션(주),음성공장,HiS-S500YJ-ON,HiS-S500YJ-ON_607.37kgCO2,500,607.37,표준배출계수,2025-07-25,2028-07-24
1000,2022-1000,에이치디현대에너지솔루션(주),음성공장,HiS-S580OJ-ET,HiS-S580OJ-ET_710.92kgCO2,580,710.92,표준배출계수,2022-07-25,2025-07-24
1001,2022-1001,에이치디현대에너지솔루션(주),음성공장,HiS-S585OJ-ET,HiS-S585OJ-ET_704.84kgCO2,585,704.84,표준배출계수,2022-07-25,2025-07-24
1002,2022-1002,에이치디현대에너지솔루션(주),음성공장,HiS-S590OJ-ET,HiS-S590OJ-ET_698.87kgCO2,590,698.87,표준배출계수,2022-07-25,2025-07-24
1003,2022-1003,에이치디현대에너지솔루션(주),음성공장,HiS-S595OJ-ET,HiS-S595OJ-ET_692.99kgCO2,595,692.99,표준배출계수,2022-07-25,2025-07-24
1004,2022-1004,에이치디현대에너지솔루션(주),음성공장,HiS-S580OJ-ETH,HiS-S580OJ-ETH_706.04kgCO2,580,706.04,표준배출계수,2022-07-25,2025-07-24
1005,2022-1005,에이치디현대에너지솔루션(주),음성공장,HiS-S585OJ-ETH,HiS-S585OJ-ETH_700.00kgCO2,585,700,표준배출계수,2022-07-25,2025-07-24
1006,2022-1006,에이치디현대에너지솔루션(주),음성공장,HiS-S590OJ-ETH,HiS-S590OJ-ETH_694.07kgCO2,590,694.07,표준배출계수,2022-07-25,2025-07-24
1007,2022-1007,에이치디현대에너지솔루션(주),음성공장,HiS-S595OJ-ETH,HiS-S595OJ-ETH_688.24kgCO2,595,688.24,표준배출계수,2022-07-25,2025-07-24
1008,2022-1008,에이치디현대에너지솔루션(주),음성공장,HiS-S580OJ-ET,HiS-S580OJ-ET_710.92kgCO2,580,710.92,표준배출계수,2022-07-25,2025-07-24
1009,2022-1009,에이치디현대에너지솔루션(주),음성공장,HiS-S585OJ-ET,HiS-S585OJ-ET_704.84kgCO2,585,704.84,표준배출계수,2022-07-25,2025-07-24
1010,2022-1010,에이치디현대에너지솔루션(주),음성공장,HiS-S590OJ-ET,HiS-S590OJ-ET_698.87kgCO2,590,698.87,표준배출계수,2025-07-25,2028-07-24
1011,2022-1011,에이치디현대에너지솔루션(주),음성공장,HiS-S595OJ-ET,HiS-S595OJ-ET_692.99kgCO2,595,692.99,표준배출계수,2025-07-25,2028-07-24
1012,2022-1012,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 465,Q.PEAK DUO XL-G10.d/BFG KR1 465_644.02kgCO2,465,644.02,표준배출계수,2025-09-02,2028-09-01
1013,2022-1013,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 470,Q.PEAK DUO XL-G10.d/BFG KR1 470_637.17kgCO2,470,637.17,표준배출계수,2025-09-02,2028-09-01
1014,2022-1014,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 475,Q.PEAK DUO XL-G10.d/BFG KR1 475_630.46kgCO2,475,630.46,표준배출계수,2025-09-02,2028-09-01
1015,2022-1015,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 480,Q.PEAK DUO XL-G10.d/BFG KR1 480_623.89kgCO2,480,623.89,표준배출계수,2025-09-02,2028-09-01
1016,2022-1016,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 465,Q.PEAK DUO XL-G10.d/BFG KR1 465_650.42kgCO2,465,650.42,표준배출계수,2025-09-02,2028-09-01
1017,2022-1017,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 470,Q.PEAK DUO XL-G10.d/BFG KR1 470_643.50kgCO2,470,643.5,표준배출계수,2025-09-02,2028-09-01
1018,2022-1018,한화솔루션(주),진천사업장,Q.PEAK DUO XL-G10.d/BFG KR1 475,Q.PEAK DUO XL-G10.d/BFG KR1 475_636.73kgCO2,475,636.73,표준배출계수,2025-09-02,2028-09-01
